"HIGH_1"	"HIGH_2"	"HIGH_3"	"HIGH_4"	"LOW_1"	"LOW_2"	"LOW_3"	"LOW_4"
"DPH7"	224	240	184	134	169	177	172	218
"ZMYND19"	148	117	96	126	72	64	89	100
"LOC124902318"	0	0	0	0	0	0	0	1
"ARRDC1"	224	201	138	214	182	188	184	216
"ARRDC1.AS1"	117	76	91	91	69	68	100	98
"EHMT1"	1846	1448	1526	1082	1798	1860	1773	1644
"SETP5"	0	0	0	0	0	0	0	0
"LOC124902319"	105	135	112	43	147	106	107	99
"LOC651337"	0	0	0	0	0	0	0	0
"LOC100418938"	0	0	0	0	0	0	0	0
"MIR602"	0	0	1	0	0	4	2	0
"LOC100133077"	0	0	0	0	0	0	0	0
"CACNA1B"	0	0	0	0	0	0	1	1
"LOC124902320"	0	0	0	0	0	0	0	0
"CACNA1B.AS1"	0	0	0	0	0	0	0	0
"LOC101928786"	0	0	0	0	0	0	0	0
"IL9RP1"	0	0	1	0	0	0	0	0
"TUBBP5"	12	8	8	0	3	6	3	0
"LOC101928932"	1	0	0	0	0	0	0	0
"FAM157B"	7	13	3	11	4	9	1	10
"LOC124902321"	0	0	0	0	0	0	0	0
"LOC105376333"	0	0	0	0	0	0	0	0
"LOC102724447"	0	0	0	0	0	0	0	0
"LOC105376332"	0	0	0	0	0	0	0	0
"OR4F8BP"	0	0	0	0	0	0	0	0
"WBP1LP9"	0	0	0	0	0	0	0	0
"LOC105379525"	0	0	1	0	0	0	0	0
"LOC102724727"	4	9	4	20	8	0	7	5
"LOC107987370"	0	0	0	0	0	0	0	0
"LOC124905322"	0	0	0	0	0	0	0	0
"LOC102724750"	0	0	0	1	0	0	0	0
"LOC102724787"	0	0	0	0	0	0	0	0
"LOC107987371"	0	0	0	0	0	0	0	0
"LOC107987372"	0	0	0	0	0	0	0	0
"LOC107987369"	0	0	0	0	0	0	0	0
"LOC102724813"	0	7	0	4	1	2	4	4
"LOC102723376"	0	0	0	0	0	0	0	0
"LOC124902360"	0	0	0	0	0	0	0	0
"TUBB8"	0	2	1	0	0	0	0	4
"IL9RP2"	0	0	0	0	0	0	0	0
"ZMYND11"	1853	1939	1633	1248	1256	1247	1433	1501
"LOC107984190"	33	11	39	18	26	20	22	21
"LOC107984191"	18	13	21	18	15	16	11	16
"DIP2C"	1642	993	1481	1009	1016	1119	944	985
"RNA5SP298"	0	1	0	1	0	0	0	0
"LOC124902362"	27	27	40	4	33	22	15	19
"LOC124902361"	462	449	436	159	426	559	356	433
"LOC101930421"	0	0	0	2	1	0	0	0
"MIR5699"	0	0	0	0	0	0	0	0
"LOC124900286"	0	4	0	0	0	0	0	0
"DIP2C.AS1"	56	115	31	24	32	53	24	47
"LARP4B"	2473	2923	1945	1408	1731	1980	1681	2213
"LOC124902363"	6	6	2	1	2	6	1	0
"LARP4B.DT"	0	0	0	0	0	2	0	0
"GTPBP4"	521	816	452	405	418	402	403	450
"IDI2"	0	1	0	0	0	0	0	0
"IDI2.AS1"	5	12	2	2	4	6	3	5
"IDI1"	3176	1111	2056	12772	1524	1781	1851	15322
"WDR37"	566	583	483	418	445	447	499	578
"LOC105376344"	0	0	0	0	0	0	0	0
"LINC00200"	1	0	0	0	0	0	0	0
"ADARB2"	2	1	0	4	6	6	7	9
"LOC105376342"	0	0	0	0	0	0	0	0
"LOC124902364"	0	0	0	0	0	0	0	0
"ADARB2.AS1"	0	0	0	0	0	0	0	0
"LOC105376345"	0	0	0	0	1	1	0	0
"LOC105376346"	0	0	0	0	0	0	0	0
"LINC00700"	0	0	0	0	0	0	0	0
"MIR6072"	0	0	0	0	0	0	0	0
"LINC02662"	0	0	0	0	0	0	0	1
"LOC107984168"	0	0	0	0	0	0	0	0
"LINC00701"	0	0	0	0	0	1	0	0
"LOC105376349"	0	0	0	0	0	0	0	0
"LINC02645"	0	0	0	0	0	0	0	0
"LOC107983989"	0	0	0	0	0	0	0	0
"LOC105376350"	0	0	0	0	0	0	0	0
"LOC105376352"	1	1	0	0	0	0	0	1
"LOC124902532"	0	0	0	0	0	0	0	0
"PFKP.DT"	0	4	0	0	0	3	0	0
"LOC124902536"	0	0	0	0	0	0	0	0
"PFKP"	98	468	46	46	24	42	50	36
"SNORD142"	1	2	0	0	0	1	0	1
"PITRM1"	1735	1831	1384	1373	950	1100	1151	1458
"PITRM1.AS1"	0	17	4	1	0	2	0	0
"LINC02668"	0	0	0	0	0	1	0	2
"LOC105376353"	0	1	0	1	0	0	0	0
"LOC124902537"	0	0	2	0	1	1	0	1
"LOC107987146"	0	0	0	0	0	0	0	0
"LOC105376356"	0	0	0	0	0	0	0	0
"LOC124902565"	0	0	0	0	0	0	0	0
"LOC105376360"	0	0	0	0	1	1	1	0
"LOC105376358"	1	3	3	4	3	3	1	1
"LOC105376357"	0	0	0	0	0	1	0	0
"LINC02669"	3	5	2	4	2	0	6	6
"LOC124902538"	0	0	1	6	2	1	4	2
"LOC107984192"	7	6	13	9	22	15	23	10
"LOC124902539"	0	0	0	0	1	0	1	0
"LOC107984193"	0	0	0	0	0	0	0	0
"LOC124902540"	0	0	0	0	0	1	0	1
"LOC105376361"	0	0	0	0	0	0	0	0
"LOC105376363"	0	0	0	0	0	0	0	0
"KLF6"	1049	2052	531	1006	391	520	473	416
"LOC105376364"	1	5	0	0	1	0	0	0
"LINC02639"	0	0	0	0	0	0	0	1
"LOC124902541"	0	0	0	0	0	0	0	0
"LINC02660"	0	0	0	0	0	0	0	0
"LOC105376367"	0	1	0	0	0	0	0	0
"MIR6078"	0	0	0	0	0	0	0	0
"LOC107984195"	0	1	1	2	0	1	0	1
"LOC101927964"	0	2	0	0	1	2	1	0
"LOC107984196"	0	1	1	0	1	4	0	2
"LOC105376368"	0	0	0	0	0	0	0	0
"LINC00702"	0	27	0	0	1	2	4	0
"LOC105376369"	0	0	0	0	0	0	0	0
"LOC105376370"	0	0	0	0	0	0	0	0
"LOC105376371"	0	0	0	0	0	0	0	0
"LOC105376372"	0	0	0	0	0	0	0	0
"LINC00703"	0	0	0	0	0	0	0	0
"MANCR"	19	13	13	6	9	6	6	11
"LINC00705"	1	0	0	0	0	0	0	0
"LOC105376373"	0	1	0	0	0	0	0	0
"LOC105376375"	0	0	0	0	0	0	0	0
"LOC107984197"	0	34	0	0	0	0	0	1
"LOC105376374"	0	0	0	0	0	0	0	0
"AKR1E2"	97	59	67	70	55	61	53	34
"AKR1C6P"	538	288	445	500	437	579	402	423
"AKR1C1"	8626	7655	5718	11095	6108	3850	3703	4106
"LOC124902365"	0	0	0	0	0	0	3	0
"AKR1C2"	4473	9120	2978	4782	4340	1765	1871	1608
"LOC101928051"	31	53	22	24	18	26	21	25
"LOC107984198"	33	14	27	14	9	20	23	49
"AKR1C3"	4244	5576	2876	5175	2069	1321	1465	3377
"LOC124902366"	71	44	43	72	353	356	500	147
"LOC124900291"	2	5	8	1	23	18	28	15
"AKR1C8"	5105	1780	4525	2560	6110	7516	8463	6244
"AKR1C4"	6777	1755	5235	9956	5004	5359	4977	6197
"ARL4AP3"	738	91	753	391	760	1024	921	928
"LINC02561"	6	32	1	1	0	0	0	0
"RPL26P28"	0	0	0	0	0	0	0	0
"UCN3"	0	0	0	0	0	0	0	0
"TUBAL3"	0	0	0	0	0	0	0	1
"NET1"	1974	1083	1735	1761	2383	1679	2540	1924
"CALML5"	0	0	0	0	0	0	0	1
"CALML3.AS1"	32	5	14	29	15	23	9	15
"CALML3"	56	0	7	26	3	14	1	4
"LOC105376380"	0	0	0	0	0	0	0	0
"LOC105376381"	0	0	0	0	0	0	0	1
"LASTR"	1	1	1	1	3	0	0	1
"LINC02678"	8	1	0	0	3	0	1	3
"LINC02677"	2	5	1	1	1	1	3	5
"LOC107984199"	1	5	1	1	7	2	1	2
"RN7SL445P"	0	0	0	0	0	1	1	0
"ASB13"	1069	607	698	834	1104	874	820	754
"TASOR2"	2496	3053	1837	1687	1924	1827	1601	1837
"GDI2"	6332	6058	4934	5193	4980	4170	4149	5750
"LOC124902367"	451	496	485	227	425	462	471	549
"TRV.TAC3.1"	0	0	0	0	0	0	0	0
"ANKRD16"	93	57	68	64	105	81	87	75
"RPL12P28"	0	0	0	0	0	0	0	0
"FBH1"	1305	1211	918	642	887	1072	985	1084
"LOC105376384"	16	51	7	16	10	19	5	11
"IL15RA"	160	346	111	138	104	90	141	147
"LOC107984200"	0	2	0	0	0	0	0	0
"IL2RA"	31	57	18	9	4	7	2	3
"LOC124902368"	0	0	0	0	0	0	0	0
"LOC124902573"	0	1	0	0	0	0	0	0
"LOC107984201"	0	0	1	0	0	0	0	0
"RBM17"	703	837	613	552	547	633	672	726
"LOC101928080"	0	1	0	3	0	0	1	0
"LOC124902369"	0	1	0	1	0	0	1	0
"PFKFB3"	579	638	310	268	362	297	201	313
"MIR3155A"	0	0	0	4	1	0	1	0
"MIR3155B"	0	0	0	0	0	0	0	0
"LOC124902371"	0	1	0	2	1	0	0	0
"LINC02649"	42	39	23	28	23	13	26	36
"DPPA5P3"	0	0	0	0	0	0	0	0
"LINC02656"	45	43	13	30	32	35	46	48
"PRKCQ"	48	91	35	37	24	56	22	41
"LOC124902370"	1	2	4	0	4	0	1	0
"LOC107984202"	0	0	0	0	0	0	0	0
"PRKCQ.AS1"	33	56	29	24	32	14	16	28
"LINC02648"	23	6	4	3	4	5	0	3
"LINP1"	7	10	0	1	0	1	5	0
"LINC00706"	0	0	0	0	0	0	0	0
"LINC00707"	0	3	0	0	0	3	4	0
"LOC107984203"	2	1	1	0	0	3	1	1
"LOC105376387"	2	2	1	5	0	1	1	1
"LINC02665"	0	0	0	0	0	0	0	0
"SFMBT2"	471	1392	304	309	201	285	306	299
"SNORD129"	7	11	2	3	3	2	3	1
"COX6CP17"	7	12	2	4	3	6	4	4
"LOC124902372"	356	944	276	156	151	250	215	221
"LOC124902373"	0	2	0	0	0	0	0	1
"LINC02642"	4	22	1	0	0	2	7	0
"LOC105376390"	0	0	0	0	0	0	0	0
"LOC105376391"	0	0	1	0	0	0	0	0
"ITIH5"	117	629	84	45	27	76	169	67
"ITIH2"	71137	57034	63897	50543	62159	65660	58209	58940
"KIN"	365	515	322	232	294	286	332	384
"ATP5F1C"	3952	3265	2667	4723	2372	2324	2585	2819
"LOC105376392"	0	0	0	2	0	1	0	0
"TAF3"	175	243	120	126	110	169	151	126
"LOC105376394"	0	0	0	0	0	0	0	0
"GATA3"	24	43	17	32	16	24	10	19
"GATA3.AS1"	0	0	0	0	0	0	2	1
"LOC105376395"	0	0	0	0	0	0	0	0
"PRPF38AP1"	0	0	0	0	0	0	0	0
"LOC107984206"	14	1	19	31	59	31	14	21
"LOC107984205"	3	0	4	8	5	1	7	0
"LINC00708"	0	0	0	0	0	0	0	0
"LOC105376396"	0	0	0	0	0	0	0	0
"LOC105376397"	0	0	0	0	0	0	0	0
"KRT8P37"	0	0	0	0	0	0	0	0
"LOC105376398"	0	0	0	0	0	0	0	0
"LOC105376399"	0	0	0	0	0	0	0	0
"LOC105376400"	0	0	0	0	0	0	0	0
"LINC02676"	0	0	0	0	0	0	0	0
"LOC101928272"	0	0	0	0	0	0	0	0
"LINC00709"	0	0	0	0	0	0	0	0
"LINC02663"	0	0	0	0	0	0	0	0
"LOC124902542"	0	0	0	0	0	0	0	0
"LOC105376403"	0	0	0	0	0	0	0	0
"LINC02670"	0	0	0	0	0	0	0	0
"LOC107984207"	0	0	0	0	0	0	0	0
"CELF2.DT"	0	0	0	0	0	0	0	0
"CELF2"	487	1190	319	342	209	319	274	409
"LOC124902374"	0	0	0	0	0	0	0	0
"SFTA1P"	0	1	0	0	0	0	0	0
"LINC00710"	0	0	0	0	0	0	0	0
"LOC124902376"	0	0	0	0	0	0	0	0
"CELF2.AS2"	0	0	1	0	0	0	0	0
"LOC124902375"	349	806	240	246	160	334	200	331
"CELF2.AS1"	0	0	0	0	0	0	0	0
"LOC105376409"	0	0	0	0	0	0	0	0
"USP6NL"	1368	1416	1245	820	797	996	1259	1301
"LOC105376411"	0	0	0	0	0	0	0	0
"LOC105376410"	0	0	0	1	0	0	0	0
"USP6NL.AS1"	1	0	1	1	0	2	0	2
"LOC105376413"	5	6	13	6	10	6	6	11
"LOC105376412"	0	2	0	0	0	1	0	0
"ECHDC3"	2096	1360	1583	2121	944	945	1390	2007
"LOC105379850"	0	0	0	0	0	0	0	0
"LOC105376415"	1	0	0	1	0	0	0	0
"PROSER2"	540	424	249	285	307	336	257	300
"PROSER2.AS1"	0	3	0	0	0	0	0	1
"UPF2"	1204	1241	1182	823	1073	1332	1203	1324
"LOC105376416"	0	0	0	0	0	0	1	0
"DHTKD1"	9270	3075	7265	6126	7555	7176	8630	6422
"SEC61A2"	188	150	134	87	165	177	148	136
"MIR548AK"	0	0	0	0	0	0	0	0
"LOC124902579"	1	3	3	0	1	1	1	4
"NUDT5"	2058	1296	1581	2013	1137	1056	1519	1454
"CDC123"	811	976	573	745	429	443	477	547
"CAMK1D"	1671	1031	1374	1139	776	628	523	854
"LOC107984209"	11	11	16	8	11	6	13	18
"MIR4480"	5	3	8	5	5	5	1	11
"MIR4481"	0	0	0	0	0	0	0	0
"MIR548Q"	0	0	0	0	0	0	0	0
"CCDC3"	677	2124	347	491	218	228	339	351
"LOC105376418"	2	1	0	0	0	1	0	0
"RPL5P25"	0	1	0	0	0	0	0	1
"OPTN"	3155	2255	2292	2180	1120	1596	1141	2575
"BTBD7P1"	5	16	0	10	12	4	20	2
"RPL36AP36"	0	0	0	0	0	0	0	0
"MCM10"	51	45	53	13	5	16	3	48
"UCMA"	0	0	0	3	0	1	0	0
"PHYH"	10684	2171	6759	11745	7656	7115	6354	11276
"LOC124902377"	27	2	8	13	20	14	15	18
"SEPHS1"	928	669	688	800	589	614	611	731
"LOC105376419"	1	0	0	0	0	1	0	1
"LOC105376420"	1	0	0	1	0	0	0	0
"BEND7"	763	728	632	477	546	488	506	512
"BEND7.DT"	0	0	0	0	0	1	0	1
"LOC105376422"	0	0	0	0	0	0	0	0
"PRPF18"	1906	1618	1624	857	1810	1868	1919	2068
"FRMD4A"	749	905	580	544	580	532	485	653
"LOC124902379"	1	1	2	1	0	2	1	0
"LOC105376426"	10	4	4	6	13	15	12	10
"LOC105376425"	2	0	1	0	0	0	1	0
"LOC101928453"	3	2	1	3	1	2	1	2
"LOC124902378"	3	5	1	1	0	0	1	0
"MIR4293"	0	0	0	0	0	0	0	0
"MIR1265"	0	0	0	0	0	0	0	0
"LOC124902380"	0	0	0	0	0	0	0	0
"FAM107B"	3564	2998	2992	2689	2105	2468	2454	3382
"LOC124902381"	1	0	0	0	0	0	0	0
"LOC105376429"	0	0	0	0	0	2	0	0
"RPSAP7"	0	0	0	0	0	0	0	0
"CDNF"	90	39	72	65	105	126	72	70
"HSPA14"	216	225	157	179	117	131	134	162
"LOC100421372"	244	314	211	146	162	180	207	220
"LOC124902382"	34	49	34	23	32	36	33	23
"SUV39H2"	135	196	143	99	85	76	81	115
"DCLRE1C"	354	513	180	156	175	253	248	276
"MEIG1"	1	9	1	9	4	1	3	5
"ACBD7.DCLRE1CP1"	0	0	0	0	0	0	2	2
"DCLRE1CP1"	2	0	0	0	1	1	1	0
"OLAH"	1	4	0	0	0	0	0	2
"ACBD7"	14	3	5	10	13	4	3	2
"GAPDHP45"	1	0	0	0	0	0	0	0
"RPP38.DT"	6	7	1	2	0	9	2	0
"RPP38"	196	165	120	182	108	93	124	126
"NMT2"	926	1019	610	562	855	686	655	590
"LOC105376431"	3	7	11	0	9	13	6	14
"LOC107984210"	17	9	15	8	18	22	22	30
"PPIAP30"	10	18	12	3	7	15	8	9
"LOC124902566"	0	0	0	0	0	0	0	0
"LOC105376434"	1	5	6	1	5	4	3	8
"LOC107984211"	9	12	8	9	2	14	15	16
"LOC105376433"	0	0	0	0	0	0	0	0
"FAM171A1"	568	978	381	544	333	410	516	822
"ITGA8"	26	190	18	32	11	36	154	30
"LOC124902383"	0	1	0	0	0	0	1	0
"MINDY3"	1149	1011	829	807	906	993	932	1227
"LOC124902582"	0	0	0	0	0	0	0	0
"RNU6.1075P"	0	0	0	0	0	0	0	0
"LINC02654"	0	0	0	0	0	0	0	0
"LOC124902585"	0	0	0	0	0	0	0	0
"PTER"	979	1037	734	860	589	684	865	806
"C1QL3"	0	0	0	0	0	1	0	0
"RSU1"	992	1294	725	835	629	488	520	828
"LOC124902385"	197	223	165	87	147	154	142	236
"LOC124902384"	264	322	275	117	169	198	140	229
"LOC105376435"	0	0	0	0	0	0	0	0
"CUBN"	73	132	60	18	43	54	73	58
"TRDMT1"	168	327	115	127	109	121	138	180
"VIM.AS1"	9	44	9	16	7	19	13	15
"VIM"	4072	11943	1987	4032	1113	1559	2676	2386
"ST8SIA6"	241	124	146	220	182	136	193	233
"ST8SIA6.AS1"	0	0	0	0	0	3	0	1
"LOC105376436"	0	0	0	2	0	1	1	0
"LOC105376437"	0	0	0	0	0	0	0	0
"PRPF38AP2"	0	0	0	0	1	0	0	0
"HACD1"	29	52	32	20	5	13	13	4
"STAM.DT"	24	29	16	21	23	12	19	18
"STAM"	508	631	412	364	356	320	376	470
"TMEM236"	9	63	8	7	15	20	15	14
"MRC1"	2640	3732	1995	2992	1929	1489	1946	2203
"MIR511"	8	3	6	9	2	1	7	5
"LOC124902600"	0	10	2	4	2	6	3	6
"SLC39A12"	6	5	2	0	4	10	2	1
"SLC39A12.AS1"	0	0	0	0	0	0	0	0
"CACNB2"	196	30	127	75	177	27	108	90
"LOC107984213"	1	0	0	0	0	0	0	0
"LOC124902386"	1286	915	1437	494	1384	1945	1684	1869
"LOC124902387"	327	287	387	144	404	479	573	466
"NSUN6"	1629	1275	1654	919	1855	2207	2465	2131
"ARL5B"	2046	2234	1712	1455	1219	1381	1222	1427
"LOC105376440"	0	0	0	0	0	0	0	0
"LOC107984180"	0	0	0	0	0	0	0	0
"MALRD1"	14	32	4	5	7	9	4	11
"LOC105376441"	0	0	0	0	0	0	0	0
"LOC102724082"	0	0	0	0	0	0	0	0
"HMGN1P20"	1	1	0	0	0	0	0	0
"LOC124902595"	0	0	0	0	0	0	0	0
"LOC101928834"	1	1	0	0	0	1	0	1
"LOC124902388"	1	3	0	4	0	4	0	1
"PLXDC2"	1615	6390	875	1245	428	927	739	922
"MIR4675"	0	0	0	0	0	0	0	0
"LOC105376442"	1	0	0	0	0	0	0	0
"NEBL"	1028	676	665	297	336	623	342	600
"LOC102725112"	0	0	0	0	0	0	0	0
"LOC124902389"	117	91	59	19	5	17	35	18
"EIF4BP2"	0	0	2	4	1	2	2	2
"NEBL.AS1"	0	0	0	0	0	0	0	0
"RNU6.15P"	0	0	0	0	0	0	0	0
"LINC02643"	2	0	0	0	0	0	0	0
"LOC124902390"	0	0	0	0	0	0	0	0
"LOC105376445"	0	0	0	0	0	0	0	0
"LOC124902598"	0	0	0	0	0	0	0	0
"MIR1915HG"	484	101	312	357	341	389	368	340
"MIR1915"	0	0	1	0	0	3	0	2
"SKIDA1"	281	68	170	245	170	192	177	246
"MLLT10"	1250	1293	1139	858	1161	1357	1213	1284
"HNRNPRP1"	0	3	1	1	1	1	0	2
"LOC107984214"	15	22	11	5	10	13	18	19
"DNAJC1"	1316	830	1048	870	788	630	719	873
"EBLN1"	0	0	0	0	0	0	0	0
"PSME2P6"	0	0	1	0	0	0	0	0
"TRN.GTT2.3"	0	0	1	0	1	0	1	0
"LOC124902391"	9	27	9	0	1	7	10	14
"LOC105376447"	80	104	47	16	38	47	53	61
"LOC100130992"	26	46	22	11	9	13	21	35
"COMMD3.BMI1"	0	0	0	0	0	0	0	1
"COMMD3"	465	484	246	468	223	252	292	281
"BMI1"	63	46	34	43	36	36	53	31
"SPAG6"	0	0	1	0	0	0	2	1
"LINC03027"	55	50	47	18	7	5	4	15
"LOC105376449"	2	2	0	1	0	0	1	2
"LOC105376450"	0	0	0	0	0	0	0	0
"LOC124902392"	0	0	0	0	0	0	0	0
"PIP4K2A"	1936	2595	1471	1296	904	1196	1188	1580
"LOC124902393"	24	36	24	7	6	20	24	37
"LOC105376451"	0	0	0	0	0	0	0	0
"ARMC3"	1	17	0	5	1	0	1	0
"LOC107984215"	1	0	0	0	1	0	0	0
"MSRB2"	652	512	496	750	369	309	405	465
"LOC124900299"	0	0	0	0	0	0	0	0
"PTF1A"	0	0	0	0	0	0	0	0
"C10orf67"	11	0	6	18	33	24	17	31
"C10orf67.AS1"	1	0	0	1	0	0	0	1
"LOC124902591"	0	0	0	0	0	0	0	0
"OTUD1"	220	268	153	191	138	185	169	179
"LOC105376454"	1	1	2	1	17	2	5	1
"KIAA1217"	1524	1480	1350	1000	1077	1400	1445	1481
"MIR603"	5	4	2	4	2	2	1	2
"LOC124902395"	0	0	0	0	0	0	0	0
"LOC105376455"	43	14	40	31	68	59	73	116
"LOC124902394"	0	0	0	0	0	0	0	0
"ARHGAP21"	2180	2592	2023	1965	1424	1432	1715	2779
"LOC105376456"	1	0	1	0	0	0	1	0
"PRTFDC1"	62	143	46	39	19	21	44	41
"THNSL1"	766	460	729	794	778	778	750	699
"ENKUR"	59	40	36	40	30	33	10	60
"LINC01516"	0	0	0	2	0	0	0	2
"GPR158.AS1"	0	0	0	0	0	0	0	0
"GPR158"	6	3	5	6	21	6	13	31
"LINC00836"	0	0	0	0	0	0	0	0
"LOC124902396"	0	0	0	0	0	0	0	0
"LOC124902397"	0	0	0	0	0	0	0	0
"LOC105376460"	0	0	0	0	0	0	0	0
"LOC101929073"	0	0	0	0	0	0	0	0
"MYO3A"	12	77	4	3	6	11	29	11
"GAD2"	0	0	0	0	0	0	0	0
"APBB1IP"	358	664	259	392	169	303	194	352
"LINC03028"	0	0	0	0	0	0	0	0
"FAM238A"	0	2	2	3	4	13	6	8
"LOC102724202"	0	0	0	0	0	0	0	0
"LOC105376461"	0	0	0	0	0	3	0	0
"FAM238B"	0	1	0	0	0	4	0	1
"SELENOOLP"	0	2	0	0	0	0	0	0
"PDSS1"	103	148	82	69	57	80	61	101
"ABI1"	1336	1890	1058	944	795	854	960	1147
"LOC124900293"	0	0	0	0	0	0	0	0
"LOC124902581"	0	0	0	0	0	0	0	0
"LOC124902398"	0	0	0	0	0	0	0	1
"FAM238C"	36	35	34	9	54	40	24	32
"ANKRD26"	1219	1185	1283	601	1445	1394	1382	1558
"YME1L1"	3511	3271	2792	2736	2529	2369	2315	3198
"MASTL"	302	363	244	219	264	298	307	240
"ACBD5"	3503	1843	2988	2835	3209	2919	3169	2352
"LRRC37A6P"	7	55	1	4	1	4	2	3
"ODAD2P1"	4	5	2	1	3	1	1	1
"LOC102724245"	0	0	0	0	0	0	0	0
"LINC02673"	0	0	0	0	0	0	0	0
"FAM210CP"	0	0	0	0	0	0	0	0
"PTCHD3"	0	0	0	0	0	0	0	0
"RAB18"	2264	2053	1842	1736	1333	1389	1723	1686
"LOC124902399"	5	5	7	1	6	3	6	1
"LINC02680"	39	79	31	28	38	59	46	47
"MKX"	29	46	23	4	10	2	21	5
"MKX.AS1"	0	0	0	0	0	0	0	0
"ODAD2"	15	16	0	1	8	0	3	0
"LOC112268060"	0	0	0	0	0	0	0	0
"MPP7"	242	311	210	166	195	94	250	173
"SNORD130"	0	0	0	0	0	0	0	0
"MIR8086"	1	0	0	0	0	0	0	1
"MPP7.DT"	0	0	2	1	3	2	1	0
"LOC124902596"	0	0	0	0	0	0	0	0
"LINC02652"	0	0	0	3	0	2	1	0
"RPSAP10"	0	0	0	0	0	0	0	0
"LOC107984216"	0	0	0	0	0	0	0	0
"WAC.AS1"	358	283	281	247	305	330	336	372
"WAC"	2496	2502	1878	1679	1795	1921	2064	2159
"BAMBI"	361	584	233	240	245	189	201	205
"LOC105376470"	0	0	0	0	0	0	0	0
"LOC107984170"	0	0	0	0	0	0	0	0
"LINC01517"	0	0	0	1	0	0	0	0
"LINC00837"	0	0	0	0	0	0	0	0
"C10orf126"	16	11	25	12	76	35	22	16
"LOC107984174"	2	0	0	0	0	0	0	0
"LOC107984171"	1	1	0	0	0	1	0	0
"LOC105376472"	0	0	0	0	0	0	0	1
"LYZL1"	1	0	0	1	0	0	0	0
"LOC124902400"	39	11	30	23	23	17	16	82
"LOC107984217"	0	0	0	0	0	0	0	0
"LOC105376473"	0	0	0	3	0	0	1	2
"LOC105376474"	10	3	0	8	4	8	12	14
"SVIL.AS1"	714	670	173	517	391	391	391	576
"SVIL"	1476	1667	1528	922	1179	1163	1222	1092
"LOC124902401"	1	0	0	4	1	0	0	1
"MIR604"	10	15	5	1	8	8	9	13
"LOC124902571"	0	0	0	0	0	0	0	0
"MIR938"	1	2	4	2	3	3	7	11
"CKS1BP2"	0	0	1	0	0	1	0	0
"LOC105376475"	0	0	0	1	0	0	0	0
"LOC105376476"	0	1	0	0	0	0	0	1
"LOC102724333"	0	0	0	0	0	0	0	0
"LOC107984172"	0	0	0	0	0	0	0	0
"LOC107984173"	0	0	0	0	0	0	0	0
"LOC124902402"	1	0	0	1	0	3	0	1
"LOC124902403"	33	16	15	20	24	13	13	15
"LOC107984218"	67	55	10	15	48	35	53	25
"JCAD"	418	1193	207	250	161	152	267	199
"LOC101929256"	0	0	1	0	0	0	1	0
"LOC105376477"	0	0	0	0	3	0	1	0
"LOC101929279"	0	0	0	0	0	0	0	0
"MTPAP"	774	767	627	493	556	516	561	579
"DNM1P17"	0	0	0	0	0	0	0	1
"GOLGA2P6"	0	2	0	0	0	0	1	0
"MIR7162"	0	0	0	0	0	0	0	0
"NIFKP1"	0	0	0	0	0	0	0	0
"MAP3K8"	204	581	192	185	139	159	153	242
"HNRNPA1P32"	0	0	0	0	0	0	0	0
"LOC105376478"	2	2	0	2	1	1	0	0
"LOC105376479"	2	0	0	0	0	0	1	2
"LYZL2"	0	0	0	0	0	1	0	0
"LOC124902404"	0	0	0	0	0	0	0	0
"SVIL2P"	0	1	1	0	0	0	2	0
"LINC02644"	0	0	0	0	0	0	0	0
"LOC124902405"	0	0	0	0	0	3	0	1
"ZNF438"	575	1087	513	399	462	549	545	683
"LOC105376481"	9	6	0	1	0	5	4	3
"LOC105376482"	0	1	2	0	0	0	0	0
"LOC105376483"	14	3	1	4	0	4	7	3
"LINC02664"	0	1	0	0	0	1	1	0
"ZEB1.AS1"	84	102	47	63	30	44	37	69
"ZEB1"	1307	2078	1095	852	973	1030	1115	1295
"SPTLC1P1"	8	26	21	18	13	9	19	17
"LOC105376484"	0	1	1	1	0	1	0	0
"MACORIS"	6	13	0	0	0	2	2	0
"ARHGAP12"	2074	2392	1698	1478	1605	1638	1719	1872
"LOC107984219"	2	4	2	1	3	4	2	1
"LOC105376485"	2	5	3	0	2	2	1	0
"KIF5B"	2818	4050	2369	1657	1470	1810	1729	2255
"RPS4XP11"	0	4	1	1	1	1	3	2
"PPIAP31"	1	1	0	0	1	1	1	0
"EPC1"	918	1007	708	681	728	777	670	777
"EPC1.AS1"	0	0	0	0	0	0	0	0
"LOC101929431"	0	10	8	0	3	3	2	2
"CCDC7"	396	806	267	297	337	493	553	404
"C1DP1"	0	1	1	16	3	4	4	1
"LOC124902406"	0	0	0	2	0	0	0	1
"ITGB1"	8205	18851	6465	5166	4367	4965	5601	5657
"SNORA86"	0	0	0	0	0	0	0	0
"ITGB1.DT"	54	462	42	55	24	30	37	33
"RPL7AP53"	1	0	0	0	0	0	1	1
"IATPR"	2	2	0	0	0	0	0	0
"NRP1"	4474	7932	2924	3436	1817	1599	2339	3338
"LOC124902407"	2	2	1	2	0	0	0	1
"LOC105376489"	0	0	0	0	0	0	0	0
"LINC02628"	0	0	0	0	0	0	0	0
"LOC124902408"	1	0	0	0	0	0	0	0
"LINC00838"	0	0	0	0	0	0	0	0
"LINC02629"	0	0	1	0	1	0	1	0
"PARD3"	1559	1722	1510	979	1455	1365	1472	1589
